문제 번호,제목,레벨,태그,링크
5622,다이얼,4,implementation,https://www.acmicpc.net/problem/5622
5639,이진 검색 트리,,,https://www.acmicpc.net/problem/5639
6139,Speed Reading,4,"implementation, math, simulation",https://www.acmicpc.net/problem/6139
6236,용돈 관리,,,https://www.acmicpc.net/problem/6236
6603,로또,,,https://www.acmicpc.net/problem/6603
7287,등록,1,implementation,https://www.acmicpc.net/problem/7287
7568,덩치,6,"bruteforcing, implementation",https://www.acmicpc.net/problem/7568
7569,토마토,,,https://www.acmicpc.net/problem/7569
7576,토마토,,,https://www.acmicpc.net/problem/7576
7662,이중 우선순위 큐,,,https://www.acmicpc.net/problem/7662
7785,회사에 있는 사람,6,"data_structures, hash_set",https://www.acmicpc.net/problem/7785
8393,합,1,"implementation, math",https://www.acmicpc.net/problem/8393
8958,OX퀴즈,4,"implementation, string",https://www.acmicpc.net/problem/8958
9012,괄호,7,"data_structures, stack, string",https://www.acmicpc.net/problem/9012
9019,DSLR,,,https://www.acmicpc.net/problem/9019
9063,대지,3,"geometry, implementation, math",https://www.acmicpc.net/problem/9063
9086,문자열,1,"implementation, string",https://www.acmicpc.net/problem/9086
9095,"1, 2, 3 더하기",,,https://www.acmicpc.net/problem/9095
9251,LCS,,,https://www.acmicpc.net/problem/9251
9375,패션왕 신해빈,,,https://www.acmicpc.net/problem/9375
9461,파도반 수열,,,https://www.acmicpc.net/problem/9461
9465,스티커,,,https://www.acmicpc.net/problem/9465
9498,시험 성적,1,implementation,https://www.acmicpc.net/problem/9498
9506,약수들의 합,5,"implementation, math, number_theory",https://www.acmicpc.net/problem/9506
9663,N-Queen,,,https://www.acmicpc.net/problem/9663
9935,문자열 폭발,,,https://www.acmicpc.net/problem/9935
10026,적록색약,,,https://www.acmicpc.net/problem/10026
10101,삼각형 외우기,2,"geometry, implementation",https://www.acmicpc.net/problem/10101
10171,고양이,1,implementation,https://www.acmicpc.net/problem/10171
10172,개,1,implementation,https://www.acmicpc.net/problem/10172
