제출 번호,문제 번호,결과,메모리,시간,제출 시간,태그
60182427,18111,틀렸습니다,,,1년 전,"['bruteforcing', 'implementation']"
60171594,1654,틀렸습니다,,,1년 전,"['binary_search', 'parametric_search']"
60171543,1654,시간 초과,,,1년 전,"['binary_search', 'parametric_search']"
60170420,1654,틀렸습니다,,,1년 전,"['binary_search', 'parametric_search']"
60170290,1654,틀렸습니다,,,1년 전,"['binary_search', 'parametric_search']"
60170274,1654,틀렸습니다,,,1년 전,"['binary_search', 'parametric_search']"
60170178,1654,틀렸습니다,,,1년 전,"['binary_search', 'parametric_search']"
60170171,1654,컴파일 에러,,,1년 전,"['binary_search', 'parametric_search']"
60159076,1654,시간 초과,,,1년 전,"['binary_search', 'parametric_search']"
60131741,2108,틀렸습니다,,,1년 전,"['implementation', 'math', 'sorting']"
60129938,1929,틀렸습니다,,,1년 전,"['math', 'number_theory', 'primality_test', 'sieve']"
60129810,1929,틀렸습니다,,,1년 전,"['math', 'number_theory', 'primality_test', 'sieve']"
60127247,4949,틀렸습니다,,,1년 전,"['data_structures', 'stack', 'string']"
60124768,4949,틀렸습니다,,,1년 전,"['data_structures', 'stack', 'string']"
60124206,4949,틀렸습니다,,,1년 전,"['data_structures', 'stack', 'string']"
60121185,2839,틀렸습니다,,,1년 전,"['dp', 'greedy', 'math']"
60118478,2869,틀렸습니다,,,1년 전,['math']
60118203,2869,틀렸습니다,,,1년 전,['math']
60118142,2869,틀렸습니다,,,1년 전,['math']
60118066,2869,시간 초과,,,1년 전,['math']
57827701,10828,시간 초과,,,2년 전,"['data_structures', 'implementation', 'stack']"
57276485,10816,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
57276380,10816,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
57276207,10816,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
57276179,10816,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
57276133,10816,런타임 에러 (ArrayIndexOutOfBounds),,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
57125129,10816,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
57114907,10816,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
51282266,23758,시간 초과,,,2년 전,"['greedy', 'math', 'sorting']"
51270441,11866,틀렸습니다,,,2년 전,"['data_structures', 'implementation', 'queue']"
51263370,1920,틀렸습니다,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
51262679,1920,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
51152847,1978,컴파일 에러,,,2년 전,"['primality_test', 'number_theory', 'math']"
50790332,1920,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50789466,1920,틀렸습니다,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50789333,1920,틀렸습니다,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50789315,1920,틀렸습니다,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50788894,1920,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50788833,1920,메모리 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50788823,1920,메모리 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50527345,1920,시간 초과,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50526270,1920,틀렸습니다,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50499928,1920,컴파일 에러,,,2년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
50499557,4153,틀렸습니다,,,2년 전,"['geometry', 'math', 'pythagoras']"
50499499,4153,틀렸습니다,,,2년 전,"['geometry', 'math', 'pythagoras']"
